,id,image_url,image_url_suffix,imageUrls,product_url,color,size,width,suited_for,brand_name,brand_name_en,model_name,prices,is_tbyb,tags,color_options,totalColorAvailable,is_ditto,classification,specifications,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,hashtagList,offerName,cmsLinkAndroid,cmsLinkIos,arModelAndroidUrl,arModelIOSUrl,arModelOriginalUrl,qty,frameColorImage,subCollection,subCollectionId,relatedItems,isCygnusEnabled,isCashbackApplicable,searchProductName,prescriptionType,Market Price,Lenskart Price,frame_size_id,frame_shape_id,brandname_id,frametype_id,arModelMsiteAndDesktopUrl,brand_logo
0,151308,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/kids-glasses:-transparent-full-rim-rectangle-kids-(8-12-yrs)-hooper-poppin-hooper-hp-e10027l-c2_kids-glasses_-transparent-full-rim-rectangle-kids-(8-12-yrs)-hooper-poppin-hooper-hp-e10027l-c2_g_9100_4_5_2215-apr-2022.jpg,/h/i/kids-glasses:-transparent-full-rim-rectangle-kids-(8-12-yrs)-hooper-poppin-hooper-hp-e10027l-c2_kids-glasses_-transparent-full-rim-rectangle-kids-(8-12-yrs)-hooper-poppin-hooper-hp-e10027l-c2_g_9100_4_5_2215-apr-2022.jpg,[],https://www.lenskart.com/hooper-hp-e10027-c2-eyeglasses.html,Transparent,8-12 yrs,127 mm,8-12 yrs,Hooper,Hooper,HP E10027L,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1000}]",False,Poppin Hooper,[],0,True,eyeframe,[],0,8826,4.85,8,"[{'name': '8-12 yrs', 'id': 25000, 'property': 'frame_size_id'}, {'name': 'Rectangle', 'id': 11345, 'property': 'frame_shape_id'}, {'name': 'Hooper', 'id': 24179, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",HOOPEREYE,https://www.lenskart.com/page-3,https://www.lenskart.com/page-3,https://lookr-static.lenskart.com/frameassets/151308/android/sku_151308.glb,https://lookr-static.lenskart.com/frameassets/151308/ios/sku_151308.scn,https://lookr-static.lenskart.com/frameassets/151308/orignal/sku_151308.glb,1,https://ds-static.lenskart.com/product_color_bubble_images/151308_bubble.png,Poppin Hooper,26113,[],True,False,Transparent Full Rim Rectangle Eyeglasses,[],1000,1000,8-12 yrs,Rectangle,Hooper,Full Rim,,
1,149901,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/kids-glasses:-black-blue-marron-red-full-rim-rectangle-kids--8-12-yrs--hooper-flexi-hooper-hp-e10038l-c2_hooper-hp-e10038l-c2-eyeglasses_g_8036_22_march23.jpg.jpg,/h/i/kids-glasses:-black-blue-marron-red-full-rim-rectangle-kids--8-12-yrs--hooper-flexi-hooper-hp-e10038l-c2_hooper-hp-e10038l-c2-eyeglasses_g_8036_22_march23.jpg.jpg,[],https://www.lenskart.com/hooper-hp-e10038l-c2-eyeglasses.html,Black,8-12 yrs,126 mm,8-12 yrs,Hooper,Hooper,HP E10038L,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1000}]",False,Flexi Hooper,[],0,True,eyeframe,[],338,8389,4.85,17,"[{'name': '8-12 yrs', 'id': 25000, 'property': 'frame_size_id'}, {'name': 'Rectangle', 'id': 11345, 'property': 'frame_shape_id'}, {'name': 'Hooper', 'id': 24179, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",HOOPEREYE,https://www.lenskart.com/page-3,https://www.lenskart.com/page-3,https://lookr-static.lenskart.com/frameassets/149901/android/sku_149901.glb,https://lookr-static.lenskart.com/frameassets/149901/ios/sku_149901.scn,https://lookr-static.lenskart.com/frameassets/149901/orignal/sku_149901.glb,456,https://ds-static.lenskart.com/product_color_bubble_images/149901_bubble.png,Flexi Hooper,26112,[],False,False,Black Blue Full Rim Rectangle Eyeglasses,[],1000,1000,8-12 yrs,Rectangle,Hooper,Full Rim,,
2,149883,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/kids-glasses:-blue-transparent-blue-pink-full-rim-rectangle-kids--5-8-yrs--hooper-flexi-hooper-hp-e10085m-c4_hooper-hp-e10085-c4-eyeglasses_g_5469_22_march23.jpg.jpg,/h/i/kids-glasses:-blue-transparent-blue-pink-full-rim-rectangle-kids--5-8-yrs--hooper-flexi-hooper-hp-e10085m-c4_hooper-hp-e10085-c4-eyeglasses_g_5469_22_march23.jpg.jpg,[],https://www.lenskart.com/hooper-hp-e10085-c4-eyeglasses.html,Purple,5-8 yrs,120 mm,5-8 yrs,Hooper,Hooper,HP E10028M,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1000}]",False,Flexi Hooper,[],0,True,eyeframe,[],98,8714,4.85,7,"[{'name': '5-8 yrs', 'id': 25001, 'property': 'frame_size_id'}, {'name': 'Round', 'id': 11346, 'property': 'frame_shape_id'}, {'name': 'Hooper', 'id': 24179, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",HOOPEREYE,https://www.lenskart.com/page-3,https://www.lenskart.com/page-3,https://lookr-static.lenskart.com/frameassets/149883/android/sku_149883.glb,https://lookr-static.lenskart.com/frameassets/149883/ios/sku_149883.scn,https://lookr-static.lenskart.com/frameassets/149883/orignal/sku_149883.glb,1,https://ds-static.lenskart.com/product_color_bubble_images/149883_bubble.png,Flexi Hooper,26112,[],False,False,Blue Transparent Full Rim Rectangle Eyeglasses,[],1000,1000,5-8 yrs,Round,Hooper,Full Rim,,
3,149879,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/kids-glasses:-blue-yellow-full-rim-cat-eye-kids--5-8-yrs--hooper-flexi-hooper-hp-e10084-c3_hooper-hp-e10084-c3-eyeglasses_g_5492_22_march23.jpg.jpg,/h/i/kids-glasses:-blue-yellow-full-rim-cat-eye-kids--5-8-yrs--hooper-flexi-hooper-hp-e10084-c3_hooper-hp-e10084-c3-eyeglasses_g_5492_22_march23.jpg.jpg,[],https://www.lenskart.com/hooper-hp-e10084-c3-eyeglasses.html,Blue,5-8 yrs,120 mm,5-8 yrs,Hooper,Hooper,HP E10084,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1000}]",False,Flexi Hooper,[],0,True,eyeframe,[],87,7984,4.1,7,"[{'name': '5-8 yrs', 'id': 25001, 'property': 'frame_size_id'}, {'name': 'Cat Eye', 'id': 11351, 'property': 'frame_shape_id'}, {'name': 'Hooper', 'id': 24179, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",HOOPEREYE,https://www.lenskart.com/page-3,https://www.lenskart.com/page-3,https://lookr-static.lenskart.com/frameassets/149879/android/sku_149879.glb,https://lookr-static.lenskart.com/frameassets/149879/ios/sku_149879.scn,https://lookr-static.lenskart.com/frameassets/149879/orignal/sku_149879.glb,107,https://ds-static.lenskart.com/product_color_bubble_images/149879_bubble.png,Flexi Hooper,26112,[],False,False,Blue Full Rim Cat Eye Eyeglasses,[],1000,1000,5-8 yrs,Cat Eye,Hooper,Full Rim,,
4,149878,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/kids-glasses:-blue-purple-full-rim-cat-eye-kids--5-8-yrs--hooper-flexi-hooper-hp-e10084-c2_hooper-hp-e10084-c2-eyeglasses_g_5476_22_march23.jpg.jpg,/h/i/kids-glasses:-blue-purple-full-rim-cat-eye-kids--5-8-yrs--hooper-flexi-hooper-hp-e10084-c2_hooper-hp-e10084-c2-eyeglasses_g_5476_22_march23.jpg.jpg,[],https://www.lenskart.com/hooper-hp-e10084-c2-eyeglasses.html,Blue,5-8 yrs,120 mm,5-8 yrs,Hooper,Hooper,HP E10084,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1000}]",False,Flexi Hooper,[],0,True,eyeframe,[],99,8201,4.1,7,"[{'name': '5-8 yrs', 'id': 25001, 'property': 'frame_size_id'}, {'name': 'Cat Eye', 'id': 11351, 'property': 'frame_shape_id'}, {'name': 'Hooper', 'id': 24179, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",HOOPEREYE,https://www.lenskart.com/page-3,https://www.lenskart.com/page-3,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/149878/android/sku_149878.glb,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/149878/ios/sku_149878.scn,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/149878/orignal/sku_149878.glb,1542,https://ds-static.lenskart.com/product_color_bubble_images/149878_bubble.png,Flexi Hooper,26112,[],True,False,Blue Full Rim Cat Eye Eyeglasses,[],1000,1000,5-8 yrs,Cat Eye,Hooper,Full Rim,,
5,149876,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/kids-glasses:-black-full-rim-wayfarer-kids--8-12-yrs--hooper-flexi-hooper-hp-e10082l-c3_hooper-hp-e10083-c3-eyeglasses_g_5440_22_march23.jpg.jpg,/h/i/kids-glasses:-black-full-rim-wayfarer-kids--8-12-yrs--hooper-flexi-hooper-hp-e10082l-c3_hooper-hp-e10083-c3-eyeglasses_g_5440_22_march23.jpg.jpg,[],https://www.lenskart.com/hooper-hp-e10083-c3-eyeglasses.html,Black,8-12 yrs,125 mm,8-12 yrs,Hooper,Hooper,HP E10082L,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1000}]",False,Flexi Hooper,[],0,True,eyeframe,[],169,11710,4.8,10,"[{'name': '8-12 yrs', 'id': 25000, 'property': 'frame_size_id'}, {'name': 'Wayfarer', 'id': 11343, 'property': 'frame_shape_id'}, {'name': 'Hooper', 'id': 24179, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",HOOPEREYE,https://www.lenskart.com/page-3,https://www.lenskart.com/page-3,https://lookr-static.lenskart.com/frameassets/149876/android/sku_149876.glb,https://lookr-static.lenskart.com/frameassets/149876/ios/sku_149876.scn,https://lookr-static.lenskart.com/frameassets/149876/orignal/sku_149876.glb,2574,https://ds-static.lenskart.com/product_color_bubble_images/149876_bubble.png,Flexi Hooper,26112,[],True,False,Black Full Rim Wayfarer Eyeglasses,[],1000,1000,8-12 yrs,Wayfarer,Hooper,Full Rim,,
6,149874,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/kids-glasses:-grey--red-full-rim-wayfarer-kids--8-12-yrs--hooper-flexi-hooper-hp-e10082l-c1_hooper-hp-e10083-c1-eyeglasses_g_5500_22_march23.jpg.jpg,/h/i/kids-glasses:-grey--red-full-rim-wayfarer-kids--8-12-yrs--hooper-flexi-hooper-hp-e10082l-c1_hooper-hp-e10083-c1-eyeglasses_g_5500_22_march23.jpg.jpg,[],https://www.lenskart.com/hooper-hp-e10083-c1-eyeglasses.html,Grey,8-12 yrs,125 mm,8-12 yrs,Hooper,Hooper,HP E10082L,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1000}]",False,Flexi Hooper,[],0,True,eyeframe,[],114,8560,4.8,10,"[{'name': '8-12 yrs', 'id': 25000, 'property': 'frame_size_id'}, {'name': 'Wayfarer', 'id': 11343, 'property': 'frame_shape_id'}, {'name': 'Hooper', 'id': 24179, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",HOOPEREYE,https://www.lenskart.com/page-3,https://www.lenskart.com/page-3,,https://lookr-static.lenskart.com/frameassets/149874/ios/sku_149874.scn,https://lookr-static.lenskart.com/frameassets/149874/orignal/sku_149874.glb,89,https://ds-static.lenskart.com/product_color_bubble_images/149874_bubble.png,Flexi Hooper,26112,[],False,False,Grey Full Rim Wayfarer Eyeglasses,[],1000,1000,8-12 yrs,Wayfarer,Hooper,Full Rim,,
7,149873,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/kids-glasses:-black-full-rim-wayfarer-kids--5-8-yrs--hooper-flexi-hooper-hp-e10082-c3_hooper-hp-e10082-c3-eyeglasses_g_5462_22_march23.jpg.jpg,/h/i/kids-glasses:-black-full-rim-wayfarer-kids--5-8-yrs--hooper-flexi-hooper-hp-e10082-c3_hooper-hp-e10082-c3-eyeglasses_g_5462_22_march23.jpg.jpg,[],https://www.lenskart.com/hooper-hp-e10082-c3-eyeglasses.html,Black,5-8 yrs,120 mm,5-8 yrs,Hooper,Hooper,HP E10082,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1000}]",False,Flexi Hooper,[],0,True,eyeframe,[],64,8581,4.35,11,"[{'name': '5-8 yrs', 'id': 25001, 'property': 'frame_size_id'}, {'name': 'Wayfarer', 'id': 11343, 'property': 'frame_shape_id'}, {'name': 'Hooper', 'id': 24179, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",HOOPEREYE,https://www.lenskart.com/page-3,https://www.lenskart.com/page-3,https://lookr-static.lenskart.com/frameassets/149873/android/sku_149873.glb,https://lookr-static.lenskart.com/frameassets/149873/ios/sku_149873.scn,https://lookr-static.lenskart.com/frameassets/149873/orignal/sku_149873.glb,981,https://ds-static.lenskart.com/product_color_bubble_images/149873_bubble.png,Flexi Hooper,26112,[],True,False,Black Full Rim Wayfarer Eyeglasses,[],1000,1000,5-8 yrs,Wayfarer,Hooper,Full Rim,,
8,149871,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/kids-glasses:-grey-red-full-rim-wayfarer-kids--5-8-yrs--hooper-flexi-hooper-hp-e10082-c1_hooper-hp-e10082-c1-eyeglasses_g_5426_22_march23.jpg.jpg,/h/i/kids-glasses:-grey-red-full-rim-wayfarer-kids--5-8-yrs--hooper-flexi-hooper-hp-e10082-c1_hooper-hp-e10082-c1-eyeglasses_g_5426_22_march23.jpg.jpg,[],https://www.lenskart.com/hooper-hp-e10082-c1-eyeglasses.html,Grey,5-8 yrs,120 mm,5-8 yrs,Hooper,Hooper,HP E10082,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1000}]",False,Flexi Hooper,[],0,True,eyeframe,[],70,7082,4.35,11,"[{'name': '5-8 yrs', 'id': 25001, 'property': 'frame_size_id'}, {'name': 'Wayfarer', 'id': 11343, 'property': 'frame_shape_id'}, {'name': 'Hooper', 'id': 24179, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",HOOPEREYE,https://www.lenskart.com/page-3,https://www.lenskart.com/page-3,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/149871/android/sku_149871.glb,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/149871/ios/sku_149871.scn,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/149871/orignal/sku_149871.glb,39,https://ds-static.lenskart.com/product_color_bubble_images/149871_bubble.png,Flexi Hooper,26112,[],True,False,Grey Full Rim Wayfarer Eyeglasses,[],1000,1000,5-8 yrs,Wayfarer,Hooper,Full Rim,,
9,149863,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/kids-glasses:-matte-black-full-rim-rectangle-kids--8-12-yrs--hooper-flexi-hooper-hp-e10004l-c2_hooper-hp-e10004l-c2-eyeglasses_g_4296_22_march23.jpg.jpg,/h/i/kids-glasses:-matte-black-full-rim-rectangle-kids--8-12-yrs--hooper-flexi-hooper-hp-e10004l-c2_hooper-hp-e10004l-c2-eyeglasses_g_4296_22_march23.jpg.jpg,[],https://www.lenskart.com/hooper-hp-e10004l-c2-eyeglasses.html,Black,8-12 yrs,125 mm,8-12 yrs,Hooper,Hooper,HP E10004L,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1000}]",False,Flexi Hooper,[],0,True,eyeframe,[],178,17512,4.75,8,"[{'name': '8-12 yrs', 'id': 25000, 'property': 'frame_size_id'}, {'name': 'Rectangle', 'id': 11345, 'property': 'frame_shape_id'}, {'name': 'Hooper', 'id': 24179, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",HOOPEREYE,https://www.lenskart.com/page-3,https://www.lenskart.com/page-3,https://lookr-static.lenskart.com/frameassets/149863/android/sku_149863.glb,https://lookr-static.lenskart.com/frameassets/149863/ios/sku_149863.scn,https://lookr-static.lenskart.com/frameassets/149863/orignal/sku_149863.glb,742,https://ds-static.lenskart.com/product_color_bubble_images/149863_bubble.png,Flexi Hooper,26112,[],True,False,Matte Black Full Rim Rectangle Eyeglasses,[],1000,1000,8-12 yrs,Rectangle,Hooper,Full Rim,,
